"","W","PTS","O_PTS","FG%","3P%","TRB","AST","STL","TOV","O_FG%","O_3P%","O_TRB","O_AST","O_STL","O_TOV"
"867",1,89,82,0.386,0.37,50,17,7,12,0.366,0.333,48,19,5,17
"868",1,95,87,0.436,0.381,50,17,6,19,0.338,0.464,34,13,8,13
"869",0,87,92,0.363,0.28,44,17,9,11,0.452,0.409,44,15,6,17
"870",0,91,94,0.438,0.304,49,18,5,19,0.455,0.207,37,26,10,11
"871",0,96,104,0.413,0.25,46,24,6,7,0.477,0.333,53,24,6,11
"872",0,87,117,0.37,0.423,37,20,7,12,0.512,0.269,49,29,7,10
"873",0,113,121,0.489,0.407,31,27,7,5,0.566,0.421,44,25,2,12
"874",0,108,113,0.472,0.424,39,29,5,8,0.5,0.52,42,21,6,11
"875",1,118,111,0.402,0.241,49,22,8,7,0.47,0.407,45,21,5,17
"876",0,79,109,0.41,0.143,42,13,5,19,0.494,0.259,47,20,10,10
"877",1,109,90,0.506,0.407,47,25,10,14,0.356,0.348,46,16,8,16
"878",1,112,102,0.512,0.5,43,23,5,9,0.461,0.4,35,17,7,6
"879",0,101,120,0.488,0.265,33,25,7,13,0.548,0.417,46,25,7,13
"880",0,92,111,0.43,0.321,40,19,9,17,0.543,0.526,39,27,12,12
"881",0,93,100,0.418,0.348,49,18,8,15,0.453,0.306,45,26,12,15
"882",1,112,96,0.46,0.286,53,25,9,9,0.41,0.4,40,21,6,12
"883",0,98,118,0.438,0.25,41,25,9,12,0.472,0.452,52,27,8,18
"884",0,92,100,0.412,0.318,48,18,7,19,0.455,0.318,44,12,13,13
"885",0,88,98,0.403,0.25,35,17,12,14,0.478,0.45,38,25,5,17
"886",1,102,94,0.463,0.357,46,22,4,11,0.391,0.357,44,15,5,11
"887",0,111,112,0.488,0.476,47,27,4,21,0.421,0.393,45,25,13,15
"888",0,79,107,0.395,0.222,33,15,5,17,0.472,0.258,50,25,12,12
"889",0,103,112,0.395,0.318,40,18,8,14,0.506,0.5,45,20,8,19
"890",1,105,86,0.457,0.296,47,21,11,13,0.376,0.32,48,21,4,17
"891",0,90,101,0.41,0.2,43,11,3,12,0.42,0.276,50,21,9,11
"892",1,110,99,0.5,0.294,47,27,7,9,0.385,0.286,46,20,7,9
"893",0,105,113,0.471,0.281,42,23,4,13,0.465,0.429,45,26,6,9
"894",1,98,91,0.416,0.28,48,21,10,9,0.444,0.429,44,24,3,16
"895",0,104,116,0.396,0.19,52,17,6,5,0.5,0.385,52,30,1,9
"896",1,112,109,0.372,0.174,55,19,10,18,0.382,0.265,53,26,15,16
"897",0,102,109,0.455,0.35,43,26,5,14,0.467,0.333,43,24,9,10
"898",1,115,87,0.516,0.462,47,36,4,10,0.354,0.091,50,21,3,8
"899",0,106,114,0.402,0.3,53,24,9,14,0.422,0.303,57,18,11,11
"900",1,115,107,0.467,0.36,48,24,9,13,0.46,0.367,39,21,7,14
"901",0,112,127,0.488,0.467,33,29,10,13,0.593,0.5,45,35,6,15
"902",1,113,109,0.483,0.52,51,27,7,11,0.387,0.306,53,20,6,8
"903",0,97,103,0.429,0.292,43,21,5,13,0.415,0.273,53,19,7,10
"904",0,72,104,0.35,0.278,39,16,9,20,0.494,0.25,47,31,11,12
"905",0,101,103,0.494,0.45,42,28,5,15,0.452,0.24,39,29,7,10
"906",0,101,102,0.46,0.368,45,21,9,17,0.407,0.368,49,23,10,16
"907",0,84,109,0.403,0.333,42,16,5,18,0.506,0.579,45,20,10,10
"908",1,109,105,0.419,0.344,54,24,7,19,0.443,0.263,40,23,14,13
"909",1,109,102,0.545,0.357,41,30,6,17,0.418,0.348,40,18,8,11
"910",1,120,105,0.523,0.486,44,33,11,18,0.424,0.286,44,18,11,15
