"","W","PTS","O_PTS","FG%","3P%","TRB","AST","STL","TOV","O_FG%","O_3P%","O_TRB","O_AST","O_STL","O_TOV"
"1",1,114,99,0.5,0.462,52,28,13,21,0.426,0.3,40,25,14,19
"2",1,106,95,0.418,0.367,43,24,11,13,0.48,0.435,38,26,10,19
"3",0,116,123,0.482,0.344,37,30,10,18,0.533,0.409,42,24,11,15
"4",1,112,97,0.529,0.4,44,29,17,19,0.435,0.333,43,22,9,26
"5",1,115,107,0.506,0.45,48,24,8,21,0.451,0.333,31,24,14,13
"6",1,117,96,0.505,0.406,52,31,10,16,0.434,0.379,39,21,14,19
"7",1,107,100,0.486,0.313,39,29,6,16,0.398,0.25,47,25,9,14
"8",0,94,112,0.459,0.345,40,22,5,15,0.523,0.44,40,29,11,9
"9",0,85,121,0.364,0.25,32,22,6,7,0.539,0.586,54,28,4,15
"10",0,99,102,0.442,0.318,36,26,13,18,0.463,0.323,43,26,9,19
"11",1,103,95,0.489,0.211,47,27,9,14,0.425,0.407,33,20,6,16
"12",0,120,131,0.506,0.393,45,29,6,15,0.586,0.441,28,36,8,9
"13",0,99,107,0.465,0.385,47,26,4,12,0.489,0.444,43,26,8,12
"14",0,84,92,0.415,0.269,35,19,9,10,0.422,0.31,52,21,6,17
"15",1,102,98,0.366,0.259,55,19,8,13,0.376,0.259,55,20,8,17
"16",1,105,98,0.443,0.308,44,29,10,15,0.417,0.29,43,22,9,18
"17",1,114,112,0.457,0.5,46,25,6,11,0.467,0.333,47,27,5,12
"18",0,101,103,0.429,0.367,43,22,5,12,0.434,0.386,43,22,7,12
"19",1,111,98,0.525,0.5,37,29,9,19,0.494,0.316,36,25,11,16
"20",1,102,93,0.476,0.409,40,23,16,19,0.42,0.25,41,18,12,24
"21",1,110,93,0.495,0.35,47,24,8,13,0.423,0.414,39,27,8,22
"22",0,105,115,0.42,0.31,40,28,8,8,0.5,0.583,46,23,4,11
"23",0,86,112,0.361,0.29,41,18,9,19,0.483,0.419,52,26,12,18
"24",1,142,139,0.437,0.323,64,36,4,14,0.398,0.353,63,32,9,12
"25",1,113,86,0.526,0.357,48,28,8,15,0.346,0.259,33,17,8,13
"26",0,95,120,0.446,0.353,30,16,6,12,0.613,0.385,44,31,9,12
"27",1,117,106,0.505,0.296,48,31,6,10,0.4,0.295,49,25,8,10
"28",0,90,108,0.38,0.3,45,14,7,10,0.404,0.459,54,30,7,12
"29",1,100,95,0.563,0.476,34,24,12,22,0.455,0.424,33,22,10,20
"30",0,130,135,0.538,0.385,43,30,7,12,0.547,0.543,33,31,7,14
"31",0,96,97,0.442,0.333,44,21,12,14,0.449,0.455,44,24,6,15
"32",0,111,119,0.463,0.464,47,19,6,19,0.471,0.455,43,33,10,14
"33",1,110,105,0.432,0.2,47,19,12,15,0.463,0.333,40,28,7,22
"34",1,105,99,0.52,0.364,45,24,8,21,0.402,0.16,46,19,17,11
"35",0,91,103,0.408,0.296,38,19,6,17,0.424,0.357,48,29,7,11
"36",0,97,113,0.364,0.269,35,22,13,13,0.506,0.444,54,23,9,20
"37",0,92,107,0.347,0.185,58,16,10,20,0.442,0.273,50,21,13,17
"38",1,95,91,0.4,0.222,51,24,5,19,0.365,0.226,48,25,12,15
"39",1,123,116,0.494,0.478,52,26,7,17,0.411,0.349,38,28,9,12
"40",1,126,125,0.468,0.29,45,31,8,12,0.459,0.413,53,28,4,14
"41",1,103,76,0.519,0.259,50,30,6,16,0.33,0.13,40,16,11,13
"42",1,122,117,0.539,0.344,47,36,13,19,0.443,0.341,44,22,8,16
"43",1,107,100,0.471,0.438,39,28,10,12,0.432,0.35,49,21,7,19
"44",0,107,123,0.456,0.32,39,31,3,11,0.524,0.478,47,21,7,17
"45",1,115,87,0.389,0.407,53,23,16,15,0.351,0.261,57,19,7,25
"46",1,90,83,0.434,0.333,53,18,6,19,0.41,0.348,32,16,9,9
"47",0,88,104,0.373,0.344,43,19,6,13,0.489,0.321,50,33,10,11
"48",0,103,109,0.462,0.353,36,32,8,10,0.469,0.458,45,24,4,16
"49",0,114,121,0.44,0.357,33,26,6,5,0.552,0.45,52,28,4,11
"50",1,97,92,0.409,0.393,45,25,10,13,0.375,0.231,51,22,9,14
"51",0,94,101,0.373,0.405,46,24,5,13,0.415,0.45,50,12,9,11
"52",1,96,88,0.436,0.321,46,26,7,13,0.33,0.267,53,21,10,12
"53",0,112,117,0.441,0.321,39,29,8,12,0.513,0.423,44,27,5,13
"54",1,113,103,0.482,0.387,47,30,6,17,0.42,0.3,37,22,14,11
"55",1,117,114,0.514,0.531,30,28,6,13,0.533,0.393,39,35,7,12
"56",1,115,104,0.554,0.548,32,31,5,13,0.463,0.423,35,27,7,10
"57",1,110,106,0.402,0.475,42,28,6,17,0.468,0.321,41,30,9,15
"58",1,117,108,0.43,0.5,47,26,6,10,0.471,0.323,42,22,7,11
"59",1,117,108,0.506,0.415,45,20,5,14,0.429,0.385,44,28,10,7
"60",1,108,98,0.5,0.385,44,29,6,12,0.442,0.32,42,25,4,11
"61",0,106,117,0.385,0.273,33,25,8,3,0.505,0.4,57,27,2,14
"62",0,123,127,0.457,0.371,47,26,6,21,0.467,0.4,37,26,12,14
"63",1,120,109,0.516,0.344,48,33,10,18,0.468,0.323,30,28,8,17
"64",1,128,98,0.562,0.471,47,39,8,10,0.437,0.36,38,29,7,11
"65",1,113,109,0.439,0.406,44,23,6,9,0.443,0.111,51,18,6,7
"66",1,109,104,0.414,0.333,39,24,6,9,0.526,0.258,41,17,6,15
"67",1,113,107,0.476,0.371,47,28,8,16,0.394,0.368,52,24,9,12
"68",1,107,102,0.42,0.308,45,24,9,11,0.417,0.345,46,22,4,13
"69",1,116,108,0.475,0.464,39,21,13,22,0.473,0.258,47,23,16,22
"70",0,98,114,0.391,0.294,40,21,9,18,0.484,0.24,55,22,10,14
"71",1,103,99,0.462,0.419,47,28,4,12,0.407,0.303,41,20,3,10
"72",1,100,80,0.465,0.432,51,22,14,21,0.379,0.28,40,18,13,17
"73",1,117,104,0.544,0.394,37,34,2,10,0.44,0.296,42,26,4,8
"74",1,110,102,0.43,0.303,53,19,10,13,0.43,0.229,39,24,6,18
"75",1,109,100,0.512,0.407,43,27,5,16,0.437,0.393,45,20,13,13
"76",1,130,120,0.468,0.341,50,31,8,15,0.453,0.316,49,23,9,13
"77",1,112,108,0.532,0.333,35,32,8,16,0.451,0.241,40,19,9,15
"78",0,100,103,0.398,0.324,42,24,8,16,0.526,0.364,35,27,9,14
"79",1,117,116,0.452,0.364,45,27,6,11,0.408,0.4,48,28,9,9
"80",0,91,114,0.407,0.212,38,21,6,12,0.467,0.306,51,19,7,10
"81",1,114,105,0.451,0.368,51,31,7,13,0.36,0.258,49,18,8,12
"82",1,112,94,0.451,0.324,46,31,12,8,0.44,0.261,43,26,6,17
"83",1,103,94,0.437,0.303,52,20,6,16,0.378,0.292,49,22,7,13
"84",0,88,118,0.344,0.161,45,14,12,15,0.506,0.407,58,26,9,19
"85",1,109,101,0.539,0.481,45,27,10,19,0.42,0.36,38,21,11,13
"86",0,95,99,0.402,0.25,46,20,12,15,0.419,0.333,49,24,7,16
"87",1,119,110,0.553,0.364,43,20,5,20,0.424,0.429,41,20,11,16
"88",0,109,129,0.398,0.286,36,22,5,9,0.576,0.417,50,23,4,15
"89",0,92,111,0.395,0.323,45,18,7,19,0.459,0.395,51,26,13,13
"90",0,105,122,0.437,0.4,42,19,7,15,0.535,0.565,45,24,11,13
"91",1,127,122,0.433,0.342,54,22,9,13,0.422,0.325,56,21,10,14
"92",0,93,111,0.382,0.3,40,20,9,17,0.45,0.441,48,23,8,18
"93",0,113,118,0.494,0.407,50,25,5,21,0.489,0.412,35,26,17,10
"94",1,116,111,0.482,0.346,42,18,11,15,0.4,0.297,58,18,7,17
"95",1,107,97,0.384,0.314,61,19,7,15,0.385,0.222,49,11,8,10
"96",0,101,117,0.442,0.371,46,22,6,26,0.452,0.324,51,29,19,12
"97",1,120,118,0.533,0.484,39,26,4,15,0.468,0.308,44,23,11,11
"98",0,89,101,0.423,0.222,44,13,5,15,0.419,0.292,46,11,9,9
"99",0,108,116,0.451,0.3,52,21,6,19,0.432,0.273,46,19,14,12
"100",0,95,105,0.462,0.37,40,21,6,22,0.394,0.296,46,19,11,13
"101",0,97,117,0.402,0.345,48,22,5,17,0.478,0.304,53,25,11,12
"102",0,95,104,0.412,0.214,50,22,10,16,0.422,0.344,50,16,12,16
"103",0,112,137,0.441,0.341,38,29,9,16,0.5,0.477,52,30,9,13
"104",0,109,119,0.449,0.269,41,20,7,13,0.522,0.526,44,18,8,9
"105",0,86,112,0.395,0.2,38,14,2,16,0.474,0.409,50,22,7,8
"106",0,106,109,0.438,0.371,33,20,3,15,0.482,0.478,40,23,7,10
"107",0,90,95,0.42,0.2,49,17,4,20,0.354,0.222,58,23,16,13
"108",0,97,106,0.372,0.393,44,20,7,19,0.43,0.4,49,20,11,14
"109",0,95,103,0.421,0.382,42,19,8,21,0.46,0.263,45,21,8,11
"110",0,110,114,0.418,0.273,55,20,6,16,0.412,0.36,54,21,9,12
"111",0,99,108,0.432,0.4,48,19,4,22,0.446,0.304,46,16,11,14
"112",0,103,112,0.463,0.324,32,23,8,12,0.506,0.409,41,25,7,12
"113",0,125,129,0.523,0.389,42,30,7,17,0.568,0.467,39,27,16,10
"114",1,120,112,0.46,0.5,55,23,7,12,0.415,0.348,43,22,5,9
"115",0,104,122,0.465,0.5,32,20,6,18,0.494,0.455,44,30,13,13
"116",0,95,98,0.361,0.314,41,23,7,10,0.4,0.241,51,20,7,12
"117",0,104,111,0.431,0.419,41,16,2,15,0.539,0.4,33,20,8,10
"118",1,98,96,0.432,0.345,46,22,1,10,0.435,0.217,51,17,8,6
"119",1,126,98,0.453,0.276,61,25,11,17,0.366,0.28,50,16,14,19
"120",0,101,106,0.404,0.281,50,22,11,13,0.429,0.303,53,21,7,16
"121",1,121,111,0.532,0.258,44,26,8,11,0.495,0.4,42,26,9,14
"122",1,91,82,0.39,0.303,51,21,11,19,0.375,0.292,44,19,9,19
"123",1,107,106,0.424,0.323,44,24,15,13,0.444,0.458,52,14,6,17
"124",0,98,104,0.405,0.281,38,22,8,8,0.481,0.484,42,25,4,13
"125",1,109,93,0.494,0.382,44,25,8,15,0.395,0.316,37,23,8,17
"126",1,122,100,0.488,0.375,43,30,12,11,0.426,0.273,52,23,8,18
"127",1,104,98,0.463,0.308,37,24,8,8,0.463,0.235,46,24,5,12
"128",0,111,113,0.409,0.415,57,22,1,11,0.478,0.273,45,18,8,5
"129",1,100,96,0.411,0.345,44,25,11,11,0.464,0.25,49,25,9,16
"130",0,90,105,0.411,0.29,39,20,6,10,0.476,0.462,40,24,7,10
"131",0,114,119,0.506,0.55,44,30,3,15,0.512,0.419,34,28,9,9
"132",1,107,102,0.438,0.364,52,16,3,10,0.374,0.375,47,26,9,8
"133",0,89,112,0.397,0.333,40,21,7,13,0.489,0.429,44,21,7,11
"134",1,97,87,0.473,0.278,39,24,5,10,0.372,0.29,41,18,6,11
"135",0,120,125,0.436,0.389,50,30,6,14,0.453,0.37,51,32,10,10
"136",1,87,77,0.341,0.286,51,13,7,5,0.382,0.148,57,21,3,12
"137",1,109,88,0.482,0.409,59,23,4,12,0.374,0.265,40,22,6,8
"138",1,117,113,0.457,0.44,44,30,5,10,0.489,0.485,40,29,5,12
"139",1,103,91,0.44,0.278,48,25,6,10,0.396,0.318,52,20,5,9
"140",1,91,82,0.387,0.192,54,18,9,8,0.402,0.357,46,26,6,16
"141",0,109,121,0.513,0.375,39,24,3,11,0.506,0.452,35,17,6,6
"142",1,123,112,0.463,0.375,43,25,8,11,0.438,0.3,51,22,6,14
"143",1,107,85,0.471,0.423,51,28,11,12,0.351,0.258,50,18,10,15
"144",1,113,78,0.5,0.48,51,24,9,14,0.337,0.233,33,10,7,12
"145",1,112,105,0.476,0.467,46,26,7,13,0.432,0.415,40,30,9,12
"146",0,99,109,0.389,0.25,43,24,7,8,0.538,0.4,47,22,5,14
"147",0,103,113,0.413,0.304,43,26,6,14,0.476,0.393,41,23,7,12
"148",0,106,109,0.48,0.324,34,24,4,11,0.519,0.407,38,27,6,9
"149",1,111,107,0.392,0.269,51,19,6,7,0.453,0.333,45,26,3,15
"150",0,95,107,0.435,0.308,47,26,8,21,0.448,0.325,42,22,13,17
"151",0,102,107,0.435,0.351,40,24,6,8,0.471,0.412,50,26,3,13
"152",0,99,105,0.436,0.355,33,19,11,15,0.477,0.364,51,24,9,18
"153",1,100,88,0.407,0.355,50,21,10,10,0.457,0.4,41,29,3,15
"154",1,121,81,0.595,0.476,43,34,6,7,0.408,0.185,31,19,4,10
"155",0,122,125,0.451,0.283,50,32,5,9,0.505,0.412,47,33,4,10
"156",0,109,115,0.462,0.241,44,25,4,6,0.446,0.35,50,29,6,10
"157",1,98,93,0.427,0.375,41,23,8,7,0.367,0.333,44,21,6,12
"158",1,105,90,0.5,0.4,33,28,12,7,0.44,0.324,45,26,3,15
"159",0,105,112,0.422,0.263,42,18,6,9,0.554,0.36,38,26,6,12
"160",1,120,106,0.483,0.467,41,29,8,7,0.506,0.375,39,25,6,12
"161",0,108,118,0.488,0.25,31,25,7,2,0.622,0.467,42,31,1,14
"162",1,122,114,0.465,0.472,43,26,10,6,0.5,0.485,49,32,4,13
"163",0,99,112,0.449,0.32,36,19,2,6,0.476,0.525,40,23,5,6
"164",0,114,121,0.452,0.321,42,22,5,7,0.517,0.436,43,35,2,9
"165",1,105,99,0.391,0.44,55,25,5,12,0.5,0.348,36,22,6,11
"166",1,118,101,0.523,0.429,47,34,8,12,0.489,0.389,33,34,8,13
"167",0,104,117,0.44,0.348,42,15,4,12,0.517,0.429,40,32,7,5
"168",1,112,80,0.472,0.158,56,26,7,8,0.388,0.3,39,28,6,14
"169",1,106,95,0.402,0.333,52,21,7,10,0.418,0.308,49,19,3,12
"170",0,90,96,0.352,0.19,46,22,15,14,0.407,0.25,60,17,12,23
"171",1,111,105,0.49,0.167,49,31,11,12,0.542,0.385,33,30,5,18
"172",0,110,112,0.422,0.304,50,16,8,15,0.484,0.375,38,25,9,9
"173",1,95,91,0.438,0.235,51,24,7,20,0.402,0.321,43,21,12,12
"174",1,105,100,0.452,0.125,47,17,8,11,0.462,0.25,43,25,5,12
"175",0,94,99,0.437,0.267,42,20,7,9,0.442,0.286,48,24,3,14
"176",0,69,95,0.304,0.238,50,17,7,12,0.463,0.4,53,26,7,11
"177",1,113,82,0.598,0.5,46,34,9,13,0.41,0.13,32,19,8,11
"178",0,97,107,0.4,0.286,49,25,4,14,0.524,0.167,44,23,7,10
"179",1,90,85,0.386,0.24,48,17,10,13,0.42,0.36,40,26,5,16
"180",1,101,99,0.398,0.231,54,20,8,18,0.43,0.406,37,21,9,14
"181",0,96,116,0.398,0.37,37,23,9,11,0.566,0.6,42,29,7,12
"182",1,118,111,0.467,0.304,45,23,10,10,0.494,0.474,34,24,7,14
"183",1,123,118,0.392,0.393,60,25,5,14,0.435,0.258,41,20,11,10
"184",0,94,109,0.41,0.368,38,18,7,11,0.566,0.292,42,30,5,12
"185",1,107,99,0.426,0.4,63,22,10,10,0.464,0.304,42,27,3,11
"186",0,98,99,0.451,0.429,43,23,6,13,0.474,0.393,36,27,5,12
"187",1,102,99,0.41,0.353,48,22,7,11,0.44,0.346,40,20,7,9
"188",0,114,119,0.457,0.296,41,18,6,6,0.518,0.567,39,29,5,13
"189",0,88,100,0.423,0.231,43,19,7,21,0.461,0.375,40,25,14,10
"190",1,121,108,0.506,0.571,49,29,8,10,0.444,0.357,43,26,8,12
"191",1,105,94,0.479,0.412,37,22,8,17,0.455,0.25,34,15,9,16
"192",1,104,103,0.422,0.24,51,23,2,7,0.468,0.378,31,24,2,7
"193",1,128,121,0.469,0.462,46,31,14,12,0.527,0.333,43,27,8,18
"194",0,107,125,0.458,0.385,35,26,10,12,0.563,0.433,45,26,6,16
"195",1,94,87,0.439,0.263,49,19,9,15,0.386,0.2,41,23,10,15
"196",0,91,101,0.422,0.353,45,26,11,19,0.482,0.24,37,20,7,14
"197",0,94,115,0.388,0.231,49,24,9,18,0.416,0.319,54,26,11,17
"198",0,91,98,0.374,0.393,45,22,6,5,0.424,0.355,52,26,2,11
"199",1,95,86,0.475,0.368,39,24,7,10,0.383,0.28,49,15,6,14
"200",1,117,95,0.588,0.478,36,36,12,11,0.443,0.35,44,18,6,15
"201",0,107,117,0.407,0.417,39,22,9,14,0.554,0.32,46,23,10,18
"202",1,99,93,0.422,0.48,51,26,11,12,0.446,0.37,44,23,6,15
"203",1,106,104,0.471,0.4,40,25,6,12,0.444,0.393,45,25,4,13
"204",1,122,75,0.539,0.462,54,33,12,12,0.345,0.185,37,18,5,16
"205",1,112,73,0.432,0.467,62,28,15,12,0.326,0.091,48,17,8,18
"206",1,117,88,0.479,0.371,51,31,12,14,0.368,0.333,42,17,6,18
"207",1,105,99,0.409,0.297,40,17,8,9,0.452,0.286,50,21,6,20
"208",1,128,120,0.518,0.5,46,22,4,11,0.478,0.386,32,30,5,7
"209",1,128,122,0.488,0.412,42,24,6,8,0.479,0.344,39,25,4,8
"210",0,106,110,0.374,0.262,39,21,12,6,0.506,0.379,50,22,1,19
"211",1,100,93,0.424,0.368,53,25,3,9,0.379,0.379,45,23,7,5
"212",1,121,117,0.53,0.394,46,26,4,17,0.479,0.448,40,24,11,8
"213",1,104,81,0.482,0.44,52,26,4,13,0.312,0.316,44,23,5,7
"214",1,137,125,0.533,0.583,41,30,6,10,0.522,0.448,38,27,6,9
"215",1,128,90,0.506,0.465,47,30,9,14,0.407,0.229,39,29,5,13
"216",0,94,113,0.406,0.375,36,12,5,18,0.472,0.419,47,33,7,11
"217",1,114,84,0.554,0.375,47,23,7,11,0.344,0.222,46,18,6,13
"218",1,116,105,0.575,0.419,40,25,8,17,0.453,0.37,39,24,5,14
"219",1,103,86,0.457,0.387,46,21,8,17,0.407,0.182,43,19,10,15
"220",1,119,108,0.517,0.455,44,30,8,8,0.477,0.432,41,30,3,11
"221",1,113,102,0.494,0.556,42,30,3,11,0.468,0.409,39,24,7,8
"222",1,119,99,0.455,0.229,51,28,12,11,0.447,0.267,44,22,6,19
"223",1,109,108,0.389,0.343,44,20,14,12,0.481,0.3,42,25,8,19
"224",1,124,118,0.518,0.368,46,29,7,18,0.506,0.324,29,26,15,11
"225",1,90,82,0.378,0.194,56,16,9,11,0.364,0.423,45,26,6,13
"226",0,94,106,0.41,0.32,44,13,6,15,0.482,0.433,43,23,8,12
"227",1,118,103,0.506,0.452,36,29,7,12,0.435,0.211,46,23,10,14
"228",0,115,118,0.495,0.382,47,25,7,18,0.5,0.385,46,32,6,13
"229",0,112,116,0.488,0.395,47,29,9,18,0.453,0.355,47,29,13,11
"230",1,124,116,0.533,0.361,47,26,4,14,0.494,0.485,37,23,9,10
"231",1,107,91,0.446,0.276,51,22,9,10,0.37,0.231,55,20,5,16
"232",1,125,97,0.539,0.405,48,37,10,10,0.436,0.333,38,26,7,13
"233",1,125,109,0.548,0.5,45,30,9,15,0.402,0.324,45,23,8,12
"234",1,113,104,0.476,0.462,40,23,6,8,0.465,0.5,43,30,2,11
"235",1,119,104,0.529,0.395,44,29,5,12,0.416,0.308,50,24,4,12
"236",0,99,117,0.463,0.378,40,24,5,12,0.495,0.5,47,34,6,7
"237",1,102,95,0.5,0.357,45,20,4,16,0.446,0.367,33,27,3,8
"238",0,98,106,0.449,0.333,52,15,3,17,0.429,0.457,38,23,7,7
"239",1,128,96,0.597,0.633,41,29,4,9,0.374,0.211,45,20,6,8
"240",1,91,83,0.419,0.273,52,14,6,10,0.415,0.238,47,18,6,16
"241",0,115,127,0.494,0.364,32,24,6,13,0.598,0.444,40,24,10,11
"242",1,122,105,0.526,0.448,49,30,8,8,0.488,0.333,42,26,7,17
"243",1,135,130,0.495,0.419,56,29,7,13,0.457,0.39,46,32,6,9
"244",1,122,102,0.537,0.5,42,30,9,12,0.384,0.333,43,23,8,14
"245",0,100,114,0.481,0.25,38,23,5,13,0.506,0.432,42,39,7,11
"246",0,83,98,0.368,0.27,42,20,5,15,0.465,0.308,48,20,8,8
"247",0,98,106,0.438,0.276,34,13,11,9,0.471,0.469,41,21,6,18
"248",0,95,105,0.41,0.357,44,18,5,12,0.45,0.387,42,21,9,14
"249",1,86,75,0.375,0.237,46,14,12,15,0.366,0.207,51,14,11,27
"250",0,64,80,0.288,0.2,45,9,3,17,0.403,0.36,48,16,7,12
"251",0,104,124,0.452,0.458,44,23,7,16,0.506,0.469,43,26,11,9
"252",1,91,81,0.416,0.37,46,19,7,12,0.39,0.25,42,17,8,13
"253",0,87,94,0.429,0.333,37,16,5,11,0.465,0.579,42,16,7,11
"254",1,107,82,0.46,0.419,42,31,11,10,0.451,0.231,43,9,4,20
"255",0,101,109,0.416,0.361,35,23,4,7,0.506,0.167,53,21,2,12
"256",0,89,120,0.41,0.333,40,17,7,20,0.56,0.455,40,28,10,14
"257",1,111,103,0.488,0.469,33,23,8,8,0.464,0.56,38,21,5,13
"258",1,112,92,0.584,0.462,34,22,9,9,0.422,0.28,43,19,6,16
"259",0,85,95,0.41,0.32,30,19,13,11,0.507,0.294,50,18,4,19
"260",1,99,79,0.442,0.394,44,20,10,11,0.395,0.258,42,16,7,15
"261",0,107,123,0.414,0.395,38,22,6,9,0.526,0.531,47,23,7,16
"262",1,113,105,0.474,0.531,42,20,4,12,0.446,0.367,38,27,6,9
"263",0,95,102,0.456,0.31,31,18,6,10,0.447,0.412,53,15,4,15
"264",0,82,97,0.39,0.25,41,18,7,14,0.405,0.5,47,19,8,10
"265",1,98,87,0.468,0.414,41,21,8,11,0.438,0.238,44,20,7,12
"266",0,107,112,0.448,0.348,43,21,4,12,0.458,0.348,53,17,8,14
"267",1,122,73,0.494,0.436,49,27,9,10,0.384,0.143,32,11,3,17
"268",1,103,95,0.47,0.231,36,19,10,7,0.424,0.304,55,17,4,18
"269",1,104,97,0.453,0.281,40,19,11,9,0.467,0.375,42,17,6,17
"270",1,113,95,0.465,0.385,51,22,10,11,0.455,0.273,39,21,5,13
"271",0,113,114,0.493,0.429,30,16,6,7,0.488,0.393,55,17,6,15
"272",1,112,105,0.506,0.25,37,21,12,11,0.459,0.448,43,26,8,21
"273",1,112,80,0.495,0.486,51,32,10,14,0.39,0.13,40,16,8,14
"274",0,98,111,0.455,0.333,37,21,7,12,0.494,0.471,41,28,5,12
"275",1,96,83,0.462,0.462,43,24,12,17,0.397,0.208,45,21,7,19
"276",1,96,89,0.434,0.5,42,18,5,13,0.446,0.346,45,21,11,13
"277",1,104,100,0.476,0.185,45,23,5,8,0.463,0.321,39,16,4,10
"278",1,104,89,0.488,0.28,37,24,6,8,0.402,0.091,49,19,4,15
"279",1,122,111,0.542,0.548,41,25,5,14,0.467,0.367,44,25,9,11
"280",1,105,96,0.423,0.424,47,16,5,15,0.436,0.29,35,23,9,12
"281",0,98,100,0.378,0.346,48,17,2,13,0.458,0.286,40,18,5,11
"282",0,87,112,0.359,0.324,39,24,8,11,0.551,0.433,46,34,10,16
"283",1,97,95,0.463,0.346,34,26,11,9,0.45,0.333,45,18,6,17
"284",0,86,94,0.378,0.25,40,20,10,12,0.481,0.429,44,22,9,14
"285",0,91,92,0.413,0.345,39,23,12,14,0.435,0.261,48,17,10,17
"286",0,89,102,0.432,0.308,44,26,1,9,0.417,0.321,58,26,6,6
"287",0,91,109,0.398,0.3,42,24,8,13,0.488,0.429,53,31,7,16
"288",0,113,115,0.38,0.261,61,19,10,17,0.459,0.313,45,23,10,15
"289",0,101,125,0.404,0.361,44,26,7,18,0.541,0.467,44,33,15,15
"290",0,95,106,0.429,0.36,42,15,6,15,0.511,0.222,37,23,11,9
"291",1,120,104,0.484,0.471,49,23,8,14,0.494,0.4,35,14,8,16
"292",0,111,113,0.47,0.16,59,29,7,19,0.457,0.348,44,23,8,11
"293",1,105,91,0.488,0.364,49,31,4,8,0.388,0.259,49,15,3,10
"294",1,110,107,0.43,0.455,55,26,5,10,0.453,0.333,48,22,6,6
"295",0,129,132,0.475,0.353,52,34,9,16,0.5,0.5,40,29,11,12
"296",0,98,106,0.418,0.318,55,28,3,19,0.441,0.375,48,26,14,6
"297",0,110,128,0.442,0.29,54,22,5,16,0.511,0.459,41,25,11,11
"298",1,132,120,0.512,0.484,36,27,10,15,0.466,0.348,41,22,6,14
"299",1,127,114,0.556,0.37,41,26,6,10,0.438,0.348,35,18,6,11
"300",1,117,107,0.563,0.52,41,32,7,11,0.538,0.56,29,21,4,12
"301",0,108,109,0.474,0.32,46,27,3,15,0.43,0.32,40,26,10,8
"302",1,105,103,0.519,0.357,38,29,6,15,0.447,0.28,43,29,8,8
"303",0,122,124,0.464,0.407,45,29,5,10,0.437,0.485,44,25,5,11
"304",0,113,120,0.5,0.474,32,29,6,14,0.523,0.379,33,26,7,8
"305",0,99,127,0.453,0.28,38,25,7,13,0.567,0.5,41,34,5,7
"306",1,140,112,0.578,0.469,47,37,10,15,0.468,0.414,34,26,9,16
"307",1,125,112,0.584,0.333,39,33,11,14,0.511,0.32,34,28,6,14
"308",1,123,98,0.529,0.417,45,30,4,10,0.417,0.313,35,23,5,7
"309",1,103,93,0.461,0.385,43,28,7,14,0.412,0.318,40,19,6,11
"310",1,127,120,0.512,0.391,46,29,5,12,0.539,0.417,28,21,8,11
"311",0,99,119,0.4,0.36,45,25,7,17,0.489,0.467,46,28,6,8
"312",1,121,117,0.449,0.321,48,31,8,14,0.542,0.375,38,26,9,18
"313",1,110,87,0.5,0.393,49,28,7,15,0.43,0.308,29,25,8,10
"314",1,132,110,0.545,0.585,52,34,6,22,0.489,0.25,27,25,12,9
"315",0,99,112,0.404,0.324,49,25,4,14,0.477,0.333,45,20,12,7
"316",1,129,109,0.505,0.452,51,32,11,13,0.494,0.333,42,27,7,19
"317",0,98,105,0.44,0.324,39,26,9,12,0.45,0.333,49,21,9,15
"318",0,102,112,0.45,0.3,45,21,5,13,0.456,0.593,43,25,8,5
"319",1,108,96,0.5,0.433,40,28,11,17,0.434,0.375,40,20,9,15
"320",0,113,123,0.529,0.464,39,31,6,16,0.568,0.423,43,31,10,11
"321",1,119,99,0.529,0.387,50,24,11,18,0.42,0.364,34,19,11,18
"322",1,129,101,0.536,0.447,42,36,9,15,0.433,0.3,46,17,10,16
"323",1,129,114,0.535,0.536,48,31,7,10,0.524,0.5,34,26,5,9
"324",0,105,109,0.427,0.323,45,28,9,13,0.458,0.208,48,20,5,14
"325",1,126,113,0.531,0.423,44,35,7,6,0.506,0.405,38,22,4,10
"326",0,90,115,0.379,0.24,48,21,3,9,0.495,0.333,60,29,6,9
"327",1,122,106,0.551,0.406,50,31,9,21,0.475,0.13,33,19,11,11
"328",0,105,106,0.476,0.324,42,22,6,12,0.417,0.24,54,19,7,12
"329",1,108,82,0.505,0.368,53,27,8,12,0.347,0.308,44,20,8,9
"330",1,98,83,0.443,0.25,58,23,8,15,0.391,0.235,40,22,10,12
"331",1,102,89,0.461,0.615,48,19,7,10,0.407,0.318,43,18,6,11
"332",1,103,86,0.476,0.35,47,22,9,13,0.33,0.28,48,15,8,16
"333",1,104,88,0.467,0.313,47,25,4,9,0.375,0.185,51,16,3,15
"334",0,92,94,0.43,0.35,50,22,5,5,0.402,0.387,46,22,3,8
"335",0,96,99,0.414,0.412,39,19,7,14,0.449,0.323,46,22,4,15
"336",1,107,84,0.494,0.316,49,22,8,13,0.36,0.269,37,19,5,14
"337",1,108,97,0.522,0.474,42,26,7,10,0.479,0.333,33,26,4,14
"338",0,92,98,0.442,0.37,44,16,8,12,0.532,0.304,39,23,8,10
"339",1,102,91,0.455,0.381,44,24,10,9,0.44,0.133,45,15,6,14
